orderID,price,quantity,type,side,fullyFilled
124,74214,492,0,1,1
73,74186,158,0,0,1
124,74193,199,1,0,1
332,74193,199,1,1,0
236,74190,173,1,0,1
332,74190,173,1,1,0
262,74190,21,1,0,0
332,74190,21,1,1,1
333,74193,125,1,0,1
335,74193,125,1,1,0
262,74190,186,1,0,1
335,74190,186,1,1,0
188,74189,31,1,0,1
335,74189,31,1,1,0
206,74189,101,1,0,0
335,74189,101,1,1,1
236,74208,124,1,1,0
335,74208,124,1,0,1
22,74175,383,0,0,1
236,74208,300,1,1,1
262,74208,300,1,0,0
267,74209,116,1,1,1
262,74209,116,1,0,0
246,74209,40,1,1,0
262,74209,40,1,0,1
206,74189,320,1,0,1
267,74189,320,1,1,0
202,74189,60,1,0,0
267,74189,60,1,1,1
202,74189,316,1,0,1
333,74189,316,1,1,0
238,74189,61,1,0,0
333,74189,61,1,1,1
91,74181,438,0,0,1
246,74209,335,1,1,1
343,74209,335,1,0,0
22,74209,79,1,1,0
343,74209,79,1,0,1
343,0,0,1,0,1
196,74182,254,0,0,1
22,74209,118,1,1,1
354,74209,118,1,0,0
336,74209,367,1,1,0
354,74209,367,1,0,1
246,74196,145,1,0,0
363,74196,145,1,1,1
336,74209,74,1,1,1
363,74209,74,1,0,0
357,74209,248,1,1,0
363,74209,248,1,0,1
78,74217,279,0,1,1
357,74209,250,1,1,1
78,74209,250,1,0,0
116,74210,55,1,1,0
78,74210,55,1,0,1
77,74184,170,0,0,1
246,74196,290,1,0,1
78,74196,290,1,1,0
336,74194,105,1,0,1
78,74194,105,1,1,0
238,74189,103,1,0,0
78,74189,103,1,1,1
116,74210,20,1,1,1
246,74210,20,1,0,0
185,74210,128,1,1,0
246,74210,128,1,0,1
185,74210,326,1,1,1
116,74210,326,1,0,0
187,74210,47,1,1,0
116,74210,47,1,0,1
270,74214,102,0,1,1
187,74210,117,1,1,1
366,74210,117,1,0,0
108,74210,258,1,1,0
366,74210,258,1,0,1
108,74210,233,1,1,1
366,74210,233,1,0,0
139,74210,251,1,1,0
366,74210,251,1,0,1
149,74216,176,0,1,1
139,74210,196,1,1,1
375,74210,196,1,0,0
263,74210,98,1,1,0
375,74210,98,1,0,1
370,74196,255,1,0,0
375,74196,255,1,1,1
95,74214,461,0,1,1
370,74196,61,1,0,1
377,74196,61,1,1,0
366,74194,52,1,0,0
377,74194,52,1,1,1
366,74194,147,1,0,1
370,74194,147,1,1,0
238,74189,131,1,0,0
370,74189,131,1,1,1
238,74189,57,1,0,1
378,74189,57,1,1,0
252,74189,295,1,0,1
378,74189,295,1,1,0
292,74189,1,1,0,0
378,74189,1,1,1,1
292,74189,129,1,0,1
252,74189,129,1,1,0
368,74189,237,1,0,0
252,74189,237,1,1,1
270,74184,105,0,0,1
309,74219,256,0,1,1
139,74207,234,1,1,0
292,74207,234,1,0,1
343,74211,330,0,1,1
292,74193,488,1,0,1
382,74193,488,1,1,0
343,74193,10,1,0,0
382,74193,10,1,1,1
343,74193,146,1,0,1
292,74193,146,1,1,0
368,74189,3,1,0,1
292,74189,3,1,1,0
43,74188,91,1,0,0
292,74188,91,1,1,1
207,74217,157,0,1,1
43,74188,74,1,0,1
386,74188,74,1,1,0
